timestep,group,average_knowledge,knowledge_std,weakest_category_avg,strongest_category_avg,knowledge_variance_avg,cumulative_correct,cumulative_incorrect,accuracy,category_0_knowledge,category_0_exposure,category_1_knowledge,category_1_exposure,category_2_knowledge,category_2_exposure,category_3_knowledge,category_3_exposure,category_4_knowledge,category_4_exposure,category_5_knowledge,category_5_exposure
0,ucb,0.19541150766578413,0.08835861361448485,0.08491108369790176,0.3125209494495138,0.006806944127920132,0,0,0.0,0.20009686767696597,0,0.1678027492300299,0,0.23363019816775996,0,0.19054738384648728,0,0.12382928105932674,0,0.2565625660141354,0
10,ucb,0.21229035693183784,0.09921034404313625,0.09112326770851986,0.3457688312169631,0.008470692437951673,192,808,0.192,0.22336102372938235,189,0.19372929794045862,181,0.2495179318521052,181,0.20626521642214243,176,0.13864793379731477,156,0.26222073784962374,117
20,ucb,0.22906924832732037,0.10762740623528513,0.09768265853465635,0.37140724228043936,0.009836402605218106,401,1599,0.2005,0.2402322671225817,344,0.20314349317369873,350,0.2652156969137953,334,0.22264267412205765,331,0.15087832278178293,348,0.2923030358500057,293
30,ucb,0.24087825686780553,0.10547694075853477,0.10947400956207687,0.36737595293689623,0.009000905867071352,585,2415,0.195,0.2511081994396937,502,0.2110892933801902,520,0.27897668047940793,475,0.23611065290056193,503,0.16737777217949534,554,0.3006069428274838,446
40,ucb,0.25548684703087887,0.10644980955563933,0.12025273226240352,0.37458909196065576,0.008843620935682911,800,3200,0.2,0.2655258030474915,666,0.22907613597390394,703,0.28868909850781965,623,0.2500541180287292,662,0.18902779670304717,751,0.3105481299242819,595
50,ucb,0.2687158639064352,0.1078764286156017,0.1320567649287267,0.3876126034928806,0.008838064108184114,1021,3979,0.2042,0.2734570453199845,811,0.24891427934867558,867,0.2979402174233764,794,0.26596926415751815,824,0.20065050554421363,947,0.325363871644843,757
60,ucb,0.2796040539192615,0.10781837621817658,0.14322362251711154,0.3847985185402947,0.008235804687906908,1236,4764,0.206,0.283976688580226,989,0.26567509721807836,1025,0.3071645149528199,939,0.27466397586170294,1002,0.21383954222160334,1149,0.3323045046811384,896
70,ucb,0.2912313283785228,0.10789713312971162,0.15385126604243987,0.3921607303303615,0.007786746839706027,1468,5532,0.20971428571428571,0.3027315335413553,1154,0.2743990577263187,1193,0.3191658230726047,1087,0.2784081713053412,1177,0.2370869843948874,1350,0.335596400230629,1039
80,ucb,0.30222637056258983,0.10542749340977067,0.1771767964559616,0.3931834200930007,0.0067068612863501915,1705,6295,0.213125,0.3115780486489903,1315,0.2855432444354029,1370,0.33056805654447763,1235,0.3004411259149104,1354,0.24919362678916415,1546,0.3360341210425934,1180
90,ucb,0.31017333738758607,0.10693588579783271,0.1896772020809435,0.40021211371678794,0.006338023217025716,1935,7065,0.215,0.3142185253099788,1467,0.2973619595599071,1559,0.3317218325263031,1372,0.30977767917212884,1512,0.26595941060249173,1737,0.34200061715470653,1353
100,ucb,0.3209547171110352,0.10555178633967943,0.20708537326015533,0.4011263069374674,0.005630137919079965,2192,7808,0.2192,0.32355853150151886,1641,0.3108694290738445,1746,0.3436741402839513,1530,0.3234774100715063,1654,0.2789932105400248,1923,0.3451555811953652,1506
110,ucb,0.3369681405937835,0.10650330594259355,0.22963707322558732,0.41087010260273443,0.0050999083730265075,2501,8499,0.22736363636363635,0.34239056900326487,1817,0.3192065405179809,1922,0.3572740641408374,1691,0.33455099854643505,1801,0.30228240189403044,2121,0.3661042694601521,1648
120,ucb,0.35014683668092716,0.10602525164693884,0.2501233120130507,0.42112497060882587,0.004447651929945516,2806,9194,0.23383333333333334,0.35056301231486053,1978,0.3391517582831316,2107,0.3668757405472685,1842,0.35213578011069385,1974,0.3168111561778844,2320,0.3753435726517242,1779
130,ucb,0.3604688288578247,0.10874522972955489,0.26521975098947675,0.4287931017601091,0.0041968418592707194,3110,9890,0.23923076923076922,0.3602527235887184,2146,0.34590747075285316,2266,0.37156264319439863,2001,0.3619486082469661,2136,0.3367853083112988,2508,0.38635621905271367,1943
140,ucb,0.37152991202212743,0.10841772972086541,0.27879153573832344,0.4366800544282015,0.0037949347756941866,3428,10572,0.24485714285714286,0.3688843438689826,2319,0.36193106259117763,2450,0.38280409168085827,2138,0.3768830151068284,2292,0.3465378409679156,2700,0.3921391179170021,2101
150,ucb,0.38378721436895186,0.10775671329120835,0.29669065396079036,0.44717928994403655,0.003327990309687614,3770,11230,0.25133333333333335,0.3797315248800179,2516,0.3745749648221574,2603,0.3971968972583222,2281,0.39048380533704113,2455,0.35935108434680396,2912,0.40138500956936873,2233
160,ucb,0.39232961899726354,0.10574460291920505,0.3184103890137887,0.4516706854218064,0.002645240960490313,4097,11903,0.2560625,0.38907937893604283,2692,0.38744922593059966,2782,0.3979087469709416,2414,0.3975650901850208,2606,0.3758519483307665,3113,0.4061233236302101,2393
170,ucb,0.4071640044641015,0.10221602814224941,0.3329289427294209,0.46444656277977864,0.002552218497638142,4483,12517,0.2637058823529412,0.39957584869545903,2871,0.40427371297776427,2947,0.41762871564959375,2566,0.4117963599196338,2765,0.39500564159579765,3297,0.4147037479463604,2554
180,ucb,0.41843312282197087,0.10557627881280042,0.3483405622168691,0.4736884069642239,0.0024498934498164192,4868,13132,0.27044444444444443,0.4145360565121021,3059,0.4143460939870343,3112,0.4249488782063727,2702,0.4246762222264026,2926,0.40261185919582965,3480,0.4294796268040835,2721
190,ucb,0.4282609934286776,0.10486448566248338,0.3594182838748427,0.488343053402613,0.002393899408418476,5254,13746,0.2765263157894737,0.4280781282636113,3238,0.42380966272988824,3276,0.4276125191619721,2870,0.4348290294704714,3100,0.42454716829454325,3686,0.4306894526515794,2830
200,ucb,0.4371075680713387,0.10438621680331824,0.366397255821076,0.4950641256165116,0.0023782595311072612,5646,14354,0.2823,0.4329133433663682,3389,0.4336649350926872,3455,0.43964303349306993,3033,0.439477299792747,3257,0.4350024821014618,3871,0.44194431458169803,2995
210,ucb,0.44665279954871245,0.10569754815059551,0.37811916313314603,0.5039540486609733,0.0023242187256685533,6058,14942,0.2884761904761905,0.4401603431880082,3548,0.44639738403539964,3643,0.4456213628724276,3198,0.44996269014987844,3426,0.4491499574783401,4049,0.4486250595682211,3136
220,ucb,0.45275248507128024,0.10363703690985021,0.385760932120671,0.5115228391767749,0.0022380473527597003,6453,15547,0.2933181818181818,0.4561130657948017,3735,0.4479595926442317,3783,0.45238401255158645,3349,0.45385426209973256,3582,0.45405859017023864,4227,0.4521453871670898,3324
230,ucb,0.4594869557175008,0.10084337015527843,0.39257756980722974,0.5191202221191293,0.0023329107534830417,6860,16140,0.2982608695652174,0.46067038646805547,3917,0.45705620807508174,3968,0.454839281733513,3509,0.45852719990804663,3758,0.46686253827982255,4389,0.4589661198404844,3459
240,ucb,0.4683456780337439,0.10102578463155232,0.3997291717387603,0.5287557883072318,0.0023477736474157656,7298,16702,0.3040833333333333,0.47257206228436616,4092,0.4650079240038712,4138,0.4660609955350802,3685,0.46850731878715257,3917,0.47785825377744784,4551,0.4600675138145448,3617
250,ucb,0.4780648837733254,0.10149970020477153,0.40999788988936475,0.5434805817176531,0.002391093663557986,7760,17240,0.3104,0.48306327588706893,4252,0.47655703678077105,4330,0.4718196431241201,3828,0.4759456535803113,4087,0.48973011608102346,4715,0.4712735771866576,3788
260,ucb,0.47933310410223434,0.10027998439091015,0.41171133062418536,0.5412062926872228,0.0023583296099904377,8160,17840,0.31384615384615383,0.4832300095436394,4404,0.47765562699010594,4485,0.47034326905434054,4005,0.4798904169410686,4257,0.4935547206398177,4891,0.4713245814444336,3958
